"x"
"abind"
"acepack"
"ada"
"adabag"
"Amelia"
"arules"
"arulesViz"
"assertthat"
"caret"
"coin"
"devtools"
"doBy"
"doMC"
"doParallel"
"doRedis"
"e1071"
"Formula"
"gam"
"gclus"
"g.data"
"geosphere"
"ggdendro"
"ggmap"
"ggplot2"
"git2r"
"glm2"
"glmnet"
"gnm"
"gridBase"
"gridExtra"
"Hmisc"
"igraph"
"irlba"
"jpeg"
"latticeExtra"
"lazyeval"
"lmtest"
"lpSolve"
"mapproj"
"maps"
"mongolite"
"mosaicData"
"multcomp"
"multilevel"
"mvtnorm"
"nlme"
"NMF"
"packrat"
"ParallelForest"
"party"
"penalized"
"pkgmaker"
"png"
"pROC"
"qvcalc"
"randomForest"
"randomGLM"
"randomUniformForest"
"RcppArmadillo"
"readr"
"registry"
"relimp"
"RgoogleMaps"
"rngtools"
"rredis"
"scatterplot3d"
"seriation"
"sp"
"tableplot"
"tables"
"TH.data"
"tm"
"TSP"
"varSelRF"
"vcd"
"vcdExtra"
"VGAM"
"WhatIf"
"xtable"
"Zelig"
"ZeligChoice"
"ZeligMultilevel"
"adabag"
"base"
"BH"
"bit"
"bit64"
"bitops"
"boot"
"BradleyTerry2"
"brew"
"brglm"
"C50"
"car"
"caret"
"caTools"
"chron"
"class"
"cluster"
"codetools"
"coin"
"colorspace"
"compiler"
"curl"
"datasets"
"DBI"
"devtools"
"dichromat"
"digest"
"doMC"
"doParallel"
"e1071"
"evaluate"
"foreach"
"foreign"
"formatR"
"gbm"
"gdata"
"ggplot2"
"git2r"
"glm2"
"glmnet"
"gplots"
"graphics"
"grDevices"
"grid"
"gsubfn"
"gtable"
"gtools"
"highr"
"htmltools"
"httr"
"iterators"
"jsonlite"
"KernSmooth"
"knitr"
"labeling"
"lattice"
"lme4"
"magrittr"
"manipulate"
"markdown"
"MASS"
"Matrix"
"memoise"
"methods"
"mgcv"
"mime"
"minqa"
"mlbench"
"mnormt"
"modeltools"
"munsell"
"mvtnorm"
"nlme"
"nloptr"
"NLP"
"nnet"
"parallel"
"party"
"partykit"
"pbkrtest"
"plyr"
"profileModel"
"proto"
"psych"
"quantreg"
"R6"
"randomForest"
"rattle"
"RColorBrewer"
"Rcpp"
"RcppEigen"
"RCurl"
"reshape2"
"RFO"
"rjson"
"RJSONIO"
"rmarkdown"
"ROAuth"
"ROCR"
"roxygen2"
"rpart"
"rpart.plot"
"RSQLite"
"Rstem"
"rstudio"
"rstudioapi"
"rversions"
"sandwich"
"scales"
"sentiment"
"shinyapps"
"slam"
"SparseM"
"spatial"
"splines"
"sqldf"
"stats"
"stats4"
"streamR"
"stringi"
"stringr"
"strucchange"
"survival"
"tcltk"
"tm"
"tools"
"twitteR"
"utils"
"whisker"
"wordcloud"
"xml2"
"yaml"
"zoo"
